Date,Longitude,Latitude,Depth,Magnitude
10/01/2024 17:10:06,28.8706,40.4117,11.2,3.6
09/01/2024 01:56:28,28.8386,40.4133,10.63,3.1
30/12/2023 20:43:24,29.1583,40.2431,9.07,3.4
24/12/2023 15:18:56,28.8339,40.4225,10.44,3
21/12/2023 14:03:08,27.4839,40.7247,10.4,3.1
17/12/2023 20:53:52,29.0994,40.7217,11.18,4.1
14/12/2023 09:50:16,28.8442,40.3942,7,3
13/12/2023 20:04:38,28.8225,40.4267,9.11,3.7
08/12/2023 23:21:05,29.0756,40.6853,7,3
06/12/2023 10:01:44,28.8186,40.4097,7,3.1
04/12/2023 14:46:13,28.8606,40.4022,14.18,3.1
04/12/2023 09:25:03,28.8586,40.4242,9.89,3.2
04/12/2023 08:18:53,28.8628,40.4308,9.16,3.3
04/12/2023 07:57:18,28.8681,40.425,7.02,3.5
04/12/2023 07:45:33,28.845,40.4075,7.02,3.1
04/12/2023 07:42:20,28.8319,40.4269,8.98,5.1
07/11/2023 20:05:48,27.526,40.471,4.33,4.1
26/10/2023 17:18:24,27.309,40.561,10.72,3.6
15/10/2023 16:57:33,31.005,40.776,5.39,3.9
13/10/2023 19:54:07,31.02,40.804,12.01,3.1
11/10/2023 16:36:01,28.275,40.844,6.99,3
13/09/2023 07:45:09,26.358,40.473,14.5,3.2
19/08/2023 14:43:46,28.068,40.842,7,3.8
06/08/2023 15:29:01,29.227,40.702,7.7,3.3
27/07/2023 08:32:50,27.81,40.791,11.75,3.1
16/06/2023 22:19:59,28.061,40.808,11.61,3.2
05/06/2023 10:11:30,27.546,40.337,10.41,3
04/06/2023 03:23:47,29.235,40.256,8.64,3.2
03/06/2023 11:07:51,29.02,40.42,11.87,3.1
02/06/2023 00:52:42,29.068,40.442,5.14,3.5
26/05/2023 05:59:57,28.071,40.845,7.2,3
26/05/2023 05:59:31,28.091,40.86,6.97,3.1
09/05/2023 07:20:49,28.623,40.378,7.46,3.8
04/05/2023 01:50:00,26.189,40.42,18.31,4.2
30/04/2023 11:01:53,27.339,40.755,15.86,3
30/04/2023 04:02:54,31.073,40.818,5.2,3.5
20/04/2023 10:41:35,27.034,40.439,11.66,3.1
09/04/2023 00:40:32,27.36,40.556,9.98,3.1
17/03/2023 11:01:53,31.532,40.795,8.09,3.2
17/03/2023 11:00:37,31.527,40.814,7,3.3
16/03/2023 17:18:15,31.524,40.809,7,3.1
16/03/2023 16:36:01,31.504,40.772,7.1,3.9
16/03/2023 13:04:46,31.526,40.794,11.1,3.4
16/03/2023 11:04:59,31.515,40.774,9.09,3.1
16/03/2023 10:55:06,31.525,40.792,9.12,4.8
09/03/2023 05:28:53,28.237,40.523,7,3.9
07/03/2023 08:36:30,27.764,40.826,8.63,3.6
05/03/2023 05:28:07,30.962,40.787,7.89,3
24/02/2023 02:08:23,27.609,40.804,7.01,3.4
06/02/2023 04:24:32,27.713,40.202,9.74,4.6
05/02/2023 12:49:58,27.754,40.785,10.62,3.5
05/02/2023 00:15:10,28.969,41.101,10.66,3
02/02/2023 20:25:43,30.451,40.674,3.5,3
02/02/2023 20:08:41,30.439,40.673,12.3,3
30/01/2023 10:14:04,30.977,40.802,13.07,3.1
17/01/2023 19:38:47,29.086,40.768,7.01,3
10/01/2023 06:15:12,30.448,40.656,12.25,3.2
07/01/2023 07:55:49,31.447,40.753,17.24,3.2
02/01/2023 09:26:32,27.256,40.139,14.22,3.1
30/12/2022 10:29:03,28.972,40.601,13.67,3.3
13/12/2022 03:21:16,27.11,40.364,12.12,4.3
12/12/2022 12:53:43,31.017,40.787,11.72,3
04/12/2022 13:38:01,31.12,40.826,8.31,3.2
03/12/2022 23:33:06,30.892,40.818,9.21,3
03/12/2022 04:59:20,30.946,40.808,14.2,4.1
02/12/2022 21:09:00,31.042,40.806,7.14,3
02/12/2022 18:49:36,30.985,40.784,10.78,3.6
02/12/2022 10:03:18,31.069,40.813,7.05,3.7
27/11/2022 03:57:46,31.048,40.846,9.52,4.3
25/11/2022 22:01:07,30.991,40.809,7,3
25/11/2022 09:00:33,30.987,40.807,11.79,3.5
24/11/2022 01:02:09,30.992,40.786,7,3.1
23/11/2022 03:50:58,30.957,40.789,9.45,4.3
